cascao_id,pac_id,pac_estado
3005,2816,programa-activo
3038,2849,caso-nuevo
3039,2850,caso-nuevo
3042,2853,programa-activo
3057,2868,caso-nuevo
3098,2908,programa-activo
3151,2961,programa-activo
3152,2962,programa-activo
3262,3072,programa-activo
3356,3166,programa-activo
3393,3203,programa-activo
3564,3374,programa-activo
3573,3383,programa-activo
3576,3386,revision-pendiente
3587,3397,programa-activo
3600,3410,caso-nuevo
3611,3421,caso-nuevo
3773,3583,programa-activo
3775,3585,rechazado-mmgyd
3778,3588,programa-activo
3801,3611,programa-activo
3809,3619,revision-pendiente
3816,3626,programa-activo
3889,3699,programa-activo
3891,3701,programa-activo
3893,3703,programa-activo
3921,3731,revision-pendiente
3924,3734,programa-activo
3932,3742,programa-activo
3939,3749,programa-activo
3961,3771,programa-activo
4056,3866,caso-nuevo
4061,3871,programa-activo
4068,3878,revision-pendiente
4195,4005,programa-activo
4196,4006,programa-activo
4198,4008,programa-activo
4199,4009,programa-activo
4201,4011,programa-completo
4447,4257,programa-activo
4706,4516,programa-activo
4742,4552,programa-activo
4782,4592,programa-activo
4840,4650,caso-nuevo
4844,4654,programa-activo
4852,4662,programa-activo
4858,4668,programa-activo
4863,4673,programa-activo
5093,4903,programa-activo
5096,4906,programa-activo
5100,4910,programa-activo
5146,4956,programa-activo
5154,4964,programa-activo
5354,5164,programa-activo
5363,5173,programa-activo
5454,5264,programa-activo
5464,5274,programa-activo
5468,5278,programa-activo
5474,5284,programa-activo
5485,5295,programa-activo
5498,5308,programa-activo
5508,5318,programa-activo
5691,5501,programa-activo
5707,5517,programa-activo
5731,5541,programa-activo
5741,5551,programa-activo
5752,5562,programa-activo
5758,5568,programa-activo
5841,5651,programa-activo
5854,5664,programa-activo
5870,5680,programa-activo
5875,5685,programa-activo
5891,5701,programa-activo
6026,5836,programa-activo
6034,5844,programa-activo
6160,5969,programa-activo
6414,6223,programa-activo
6512,6321,programa-activo
6655,6464,programa-activo
6722,6531,caso-nuevo
6830,6639,programa-activo
7480,7148,caso-nuevo
7495,7163,programa-activo
7513,7181,programa-activo
7653,7321,rechazado-mmgyd
8765,8379,programa-activo
8802,8388,programa-completo
8829,8393,programa-activo
8864,8414,programa-activo
9277,8555,programa-activo
9298,8576,programa-activo
9590,8868,programa-activo
10606,9884,programa-activo
10625,9903,programa-activo
10643,9921,programa-completo
12557,11835,programa-activo
12592,11870,programa-activo
13120,12398,programa-activo
14644,13921,programa-activo
21371,20645,programa-activo
21443,20717,caso-nuevo
22606,21880,programa-activo
22637,21911,programa-activo
22659,21933,programa-activo
22686,21960,programa-activo
22738,22012,programa-activo
22826,22100,caso-nuevo
23984,23256,programa-activo
24035,23307,programa-activo
24056,23328,programa-activo
24215,23487,programa-activo
24257,23529,programa-activo
25319,24590,programa-activo
25346,24617,programa-activo
25366,24637,programa-activo
25393,24664,rechazado-mmgyd
27091,26354,programa-activo
28671,27933,programa-activo
28691,27953,programa-activo
28729,27991,rechazado-mmgyd
28909,28171,programa-activo
29008,28270,programa-activo
36510,33862,programa-activo
36536,33888,programa-activo
36552,33903,programa-activo
36580,33931,programa-activo
36613,33964,programa-activo
36641,33992,programa-activo
36746,34097,programa-activo
36800,34151,programa-activo
36828,34179,rechazado-mmgyd
36853,34204,programa-activo
36917,34268,rechazado-mmgyd
36931,34282,programa-activo
36948,34299,programa-activo
36981,34332,programa-activo
37455,34806,programa-activo
37467,34818,programa-activo
37490,34841,programa-activo
37511,34862,programa-activo
37557,34908,programa-activo
37624,34975,programa-activo
38001,35352,programa-activo
38107,35458,rechazado-mmgyd
38158,35509,programa-activo
38167,35518,programa-activo
38206,35557,programa-activo
41200,38550,programa-activo
41405,38755,programa-activo
41498,38848,programa-activo
41899,39248,programa-activo
41927,39276,programa-activo
41945,39294,programa-activo
41964,39313,programa-activo
41973,39322,rechazado-mmgyd
41996,39345,programa-activo
42013,39362,programa-activo
42434,39782,programa-activo
42721,40068,programa-activo
42756,40103,programa-activo
42802,40149,programa-activo
43860,41205,programa-activo
43931,41276,programa-activo
44057,41402,programa-activo
44109,41454,programa-activo
44148,41493,caso-nuevo
44189,41534,programa-activo
44226,41570,programa-activo
44565,41909,programa-activo
44617,41961,programa-activo
44690,42034,programa-activo
44729,42073,programa-activo
44759,42102,programa-activo
44781,42124,programa-activo
44806,42149,programa-activo
45154,42497,programa-activo
45211,42554,rechazado-mmgyd
45310,42653,programa-activo
45361,42704,programa-activo
45481,42824,programa-activo
49556,46894,rechazado-mmgyd
49586,46924,programa-activo
49638,46974,programa-activo
49667,47003,programa-activo
49735,47071,programa-activo
49785,47121,programa-activo
49812,47148,programa-activo
49876,47212,programa-activo
50201,47537,programa-activo
50225,47561,programa-activo
50247,47583,programa-activo
50277,47613,programa-activo
50306,47642,programa-activo
50390,47726,programa-activo
50411,47747,programa-activo
52015,49326,programa-activo
52044,49355,programa-activo
52352,49659,programa-activo
52418,49725,programa-activo
52451,49758,programa-activo
53832,51137,programa-activo
53846,51151,rechazado-mmgyd
53858,51163,programa-activo
53863,51168,programa-activo
56133,53427,programa-completo
